Feature,Importance,Importance_std
Grade_G4,0.0803,0.0102
Age,0.0762,0.0163
Grade_G2,0.0105,0.0059
Tx_None,0.0061,0.0013
Tx_Single,0.0042,0.0023
Era_After2005,0.0035,0.0017
Sex,0.0022,0.0019
Grade_G3,0.0009,0.0011
Site_BrainNOS,0.0004,0.0013
Tx_Standard,0.0003,0.002
Prior_cancer,0.0001,0.0014
Site_Other,0.0,0.0
Site_Cerebrum,-0.0001,0.0005
Era_Before2005,-0.0001,0.0015
